Time,Open,High,Low,Last,Change,%Chg,Volume
07/29/2020,6020.5,6051.1,6000.7,6006.4,-14.1,-0.23%,0
07/28/2020,6044.2,6113.8,6019.8,6020.5,-23.7,-0.39%,0
07/27/2020,6024,6044.5,6013.1,6044.2,20.2,+0.34%,0
07/24/2020,6094.5,6094.5,6010.7,6024,-70.5,-1.16%,0
07/23/2020,6075.1,6102.7,6052.1,6094.5,19.4,+0.32%,0
07/22/2020,6156.3,6156.3,6055.5,6075.1,-81.2,-1.32%,0
07/21/2020,6001.6,6160.6,6001.6,6156.3,154.7,+2.58%,0
07/20/2020,6033.6,6038.8,5991.9,6001.6,-32,-0.53%,0
07/17/2020,6010.9,6042.4,5999.4,6033.6,22.7,+0.38%,0
07/16/2020,6052.9,6078,5989.9,6010.9,-42,-0.69%,0
07/15/2020,5941.1,6052.9,5941.1,6052.9,111.8,+1.88%,0
07/14/2020,5977.5,5977.5,5918.8,5941.1,-36.4,-0.61%,0
07/13/2020,5998.4,6007.4,5919.2,5977.5,58.3,+0.98%,0
07/10/2020,5955.5,5956.2,5899.5,5919.2,-36.3,-0.61%,0
07/09/2020,5920.3,5998.8,5920.3,5955.5,35.2,+0.59%,0
07/08/2020,6012.9,6018.4,5920.3,5920.3,-92.6,-1.54%,0
07/07/2020,6014.6,6077.3,6004.2,6012.9,-1.7,-0.03%,0
07/06/2020,6057.9,6078.3,6014.6,6014.6,-43.3,-0.71%,0
07/03/2020,6032.7,6101.4,6021.7,6057.9,25.2,+0.42%,0
07/02/2020,5934.4,6034.9,5934.4,6032.7,98.3,+1.66%,0
07/01/2020,5897.9,5953.9,5892.8,5934.4,36.5,+0.62%,0
06/30/2020,5815,5955.2,5815,5897.9,82.9,+1.43%,0
06/29/2020,5904.1,5904.1,5773.2,5815,-89.1,-1.51%,0
06/26/2020,5817.7,5913.6,5817.7,5904.1,86.4,+1.49%,0
06/25/2020,5965.7,5965.7,5817.7,5817.7,-148,-2.48%,0
06/24/2020,5954.4,5992.8,5942.3,5965.7,11.3,+0.19%,0
06/23/2020,5944.5,5999.2,5882.8,5954.4,9.9,+0.17%,0
06/22/2020,5942.6,5972.6,5881.1,5944.5,1.9,+0.03%,0
06/19/2020,5936.5,6006.3,5929.9,5942.6,6.1,+0.10%,0
06/18/2020,5991.8,5991.8,5888.7,5936.5,-55.3,-0.92%,0
06/17/2020,5942.3,5991.8,5931.5,5991.8,49.5,+0.83%,0
06/16/2020,5719.8,5975.8,5719.8,5942.3,222.5,+3.89%,0
06/15/2020,5847.8,5857.7,5719.8,5719.8,-128,-2.19%,0
06/12/2020,5960.6,5960.6,5756.5,5847.8,-112.8,-1.89%,0
06/11/2020,6148.4,6148.4,5949.6,5960.6,-187.8,-3.05%,0
06/10/2020,6144.9,6182.3,6089.7,6148.4,3.5,+0.06%,0
06/09/2020,5998.7,6198.6,5998.7,6144.9,146.2,+2.44%,0
06/05/2020,5991.8,6017.8,5963,5998.7,6.9,+0.12%,0
06/04/2020,5941.6,6040.2,5941.6,5991.8,50.2,+0.84%,0
06/03/2020,5835.1,5943.7,5835.1,5941.6,106.5,+1.83%,0
06/02/2020,5819.2,5859,5800,5835.1,15.9,+0.27%,0
06/01/2020,5755.7,5819.2,5705.4,5819.2,63.5,+1.10%,0
05/29/2020,5851.1,5851.1,5755.7,5755.7,-95.4,-1.63%,0
05/28/2020,5775,5922,5775,5851.1,76.1,+1.32%,0
05/27/2020,5780,5835.9,5713.9,5775,-5,-0.09%,0
05/26/2020,5615.6,5780,5615.6,5780,164.4,+2.93%,0
05/25/2020,5497,5615.6,5497,5615.6,118.6,+2.16%,0
05/22/2020,5550.4,5569.7,5494.8,5497,-53.4,-0.96%,0
05/21/2020,5573,5610.8,5545.2,5550.4,-22.6,-0.41%,0
05/20/2020,5559.5,5587.1,5507,5573,13.5,+0.24%,0
05/19/2020,5460.5,5606.8,5460.5,5559.5,99,+1.81%,0
05/18/2020,5404.8,5486.3,5404.8,5460.5,55.7,+1.03%,0
